CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         2,       107,       110,        78,        82,         1,         7
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    200.00,ETH       , 0.44764780E-01,-0.16166549E-03, 0.31421367E-01, 0.14661844E-02, 0.00000000E+00, 0.26222614E-02,-0.36644223E-02, 0.36807079E-02,-0.15958037E-01, 0.00000000E+00, 0.78114383E-07, 0.00000000E+00,-0.76405544E-04,-0.78193050E-04,-0.54973883E-04,-0.34331762E-04, 0.00000000E+00, 0.00000000E+00,-0.50332696E-04, 0.00000000E+00, 0.00000000E+00, 0.63877560E-01, 0.29566808E-01, 0.13871706E+14, 0.54245868E-06, 0.12117979E-04
     95188,    200.00,OLE       , 0.35009433E-01,-0.14341288E-02, 0.32656923E-01, 0.83679968E-03, 0.00000000E+00, 0.15809645E-02,-0.18386274E-02, 0.37028249E-02,-0.11943172E-01, 0.00000000E+00,-0.13342281E-09, 0.00000000E+00,-0.36251738E-04,-0.54749718E-04,-0.53292184E-04,-0.21962807E-04, 0.00000000E+00, 0.00000000E+00,-0.47152713E-04, 0.00000000E+00, 0.00000000E+00, 0.58357880E-01, 0.29566808E-01, 0.13871706E+14, 0.27083300E-06, 0.77360000E-05
     95188,    200.00,PAN       , 0.39165977E-01, 0.46673606E-03, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.12176858E-01,-0.10785998E-01, 0.12470123E-01,-0.13883111E-01, 0.00000000E+00, 0.53386280E-07, 0.00000000E+00,-0.83708585E-07,-0.15762329E-06,-0.52272615E-07,-0.56847185E-07, 0.00000000E+00, 0.00000000E+00,-0.27969454E-04, 0.00000000E+00, 0.00000000E+00, 0.39582331E-01, 0.29566808E-01, 0.13871706E+14, 0.90715631E-08, 0.23161846E-06
     95188,    200.00,ISOP      , 0.66823472E-04,-0.55119912E-04, 0.57150144E-04, 0.00000000E+00, 0.00000000E+00, 0.64305937E-06,-0.39844485E-05, 0.24162575E-05,-0.16087743E-04, 0.00000000E+00, 0.98952591E-11, 0.00000000E+00,-0.37215578E-07,-0.19899929E-06,-0.19879320E-07,-0.11670763E-06, 0.00000000E+00, 0.00000000E+00,-0.65010390E-07, 0.00000000E+00, 0.00000000E+00, 0.51403371E-04, 0.29566808E-01, 0.13871706E+14, 0.34891709E-09, 0.52214755E-05
     95188,    200.00,XYL       , 0.31251997E-01,-0.22461954E-04, 0.27289873E-01, 0.11446871E-02, 0.00000000E+00, 0.30782807E-03,-0.19071320E-02, 0.11361601E-02,-0.91577861E-02, 0.00000000E+00,-0.19822525E-11, 0.00000000E+00,-0.24394871E-04,-0.56461613E-04,-0.24501347E-04,-0.44477441E-04, 0.00000000E+00, 0.00000000E+00,-0.20939598E-03, 0.00000000E+00, 0.00000000E+00, 0.49683824E-01, 0.29566808E-01, 0.13871706E+14,-0.10807701E-06, 0.34582436E-05
     95188,    200.00,FORM      , 0.11069039E+01, 0.66100416E-03, 0.19001080E-01, 0.69688335E-02, 0.00000000E+00, 0.33535182E+00,-0.29815245E+00, 0.34405714E+00,-0.38965863E+00, 0.00000000E+00, 0.11092204E-04, 0.00000000E+00,-0.52410531E-04,-0.50844803E-04,-0.34760073E-04,-0.40896499E-04, 0.00000000E+00, 0.00000000E+00,-0.14488330E-02, 0.00000000E+00, 0.00000000E+00, 0.11235160E+01, 0.29566808E-01, 0.13871706E+14,-0.13524611E-06, 0.12218415E-06
     95188,    200.00,ALD2      , 0.12818293E+00, 0.57916495E-03, 0.18827010E-01, 0.40429295E-03, 0.00000000E+00, 0.33604786E-01,-0.30588664E-01, 0.37524890E-01,-0.44929069E-01, 0.00000000E+00, 0.13513866E-05, 0.00000000E+00,-0.24189532E-04,-0.32742806E-04,-0.21611866E-04,-0.18231522E-04, 0.00000000E+00, 0.00000000E+00,-0.64175855E-03, 0.00000000E+00, 0.00000000E+00, 0.14286824E+00, 0.29566808E-01, 0.13871706E+14, 0.65338547E-07, 0.50972892E-06
     95188,    200.00,HNO3      , 0.15785717E+01, 0.72245710E-01, 0.00000000E+00, 0.00000000E+00, 0.16369636E-03, 0.48495319E+00,-0.43306023E+00, 0.49650753E+00,-0.56806213E+00, 0.00000000E+00, 0.18649844E-05, 0.00000000E+00,-0.43063101E-04,-0.65368651E-04,-0.20275073E-04,-0.31875534E-04, 0.00000000E+00, 0.00000000E+00,-0.75041465E-02, 0.00000000E+00, 0.00000000E+00, 0.16236571E+01, 0.29566808E-01, 0.13871706E+14, 0.52863498E-06, 0.33488186E-06
     95188,    200.00,NXOY      , 0.44214033E-01, 0.14898513E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.73135993E-02,-0.95890583E-02, 0.91006206E-02,-0.16637653E-01, 0.00000000E+00,-0.11488738E-04, 0.00000000E+00,-0.21286485E-04,-0.32344455E-04,-0.12159750E-04,-0.16838687E-04, 0.00000000E+00, 0.00000000E+00,-0.51654351E-03, 0.00000000E+00, 0.00000000E+00, 0.48689466E-01, 0.29566808E-01, 0.13871706E+14, 0.71753519E-07, 0.16228674E-05
     95188,    200.00,NTR       , 0.83946259E-04, 0.93522947E-04, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.13729084E-04,-0.17669819E-04, 0.18406658E-04,-0.41917294E-04, 0.00000000E+00,-0.22430910E-07, 0.00000000E+00,-0.42447809E-07,-0.14516581E-06,-0.24921510E-07,-0.72484575E-07, 0.00000000E+00, 0.00000000E+00,-0.13981986E-05, 0.00000000E+00, 0.00000000E+00, 0.14831252E-03, 0.29566808E-01, 0.13871706E+14, 0.34579234E-09, 0.36974061E-05
