CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    200.00,ETH       , 0.14425401E-01,-0.10010371E-03, 0.88073481E-02, 0.61103946E-03, 0.00000000E+00,-0.11001797E-02, 0.11032145E-03,-0.47883736E-04,-0.20080102E-03, 0.00000000E+00, 0.53896423E-04, 0.00000000E+00,-0.23728855E-04,-0.13295670E-04,-0.47473181E-05,-0.76651369E-04, 0.00000000E+00, 0.00000000E+00,-0.11457688E-04, 0.00000000E+00, 0.00000000E+00, 0.22429336E-01, 0.29677499E-01, 0.17915106E+15, 0.18008195E-06, 0.12483672E-04
     95188,    200.00,OLE       , 0.13752618E-01,-0.14136150E-02, 0.12075884E-01, 0.29979809E-02, 0.00000000E+00,-0.15106682E-02,-0.11652325E-04,-0.74638515E-05,-0.44841898E-03, 0.00000000E+00, 0.10140435E-07, 0.00000000E+00,-0.19410551E-04,-0.46659407E-05,-0.46301247E-05,-0.85213123E-05, 0.00000000E+00, 0.00000000E+00,-0.15202573E-04, 0.00000000E+00, 0.00000000E+00, 0.25382480E-01, 0.29677499E-01, 0.17915106E+15, 0.23610539E-06, 0.17168031E-04
     95188,    200.00,PAN       , 0.39222158E-01, 0.57926832E-03, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.15923968E-02, 0.95711520E-03,-0.29755654E-03, 0.54278073E-03, 0.00000000E+00, 0.38878428E-03, 0.00000000E+00,-0.33089790E-07,-0.64052621E-07,-0.13254282E-06,-0.18360900E-06, 0.00000000E+00, 0.00000000E+00,-0.20548830E-04, 0.00000000E+00, 0.00000000E+00, 0.39779201E-01, 0.29677499E-01, 0.17915106E+15, 0.95158716E-08, 0.24261468E-06
     95188,    200.00,ISOP      , 0.10860193E-04,-0.62516527E-04, 0.69854032E-04, 0.49365575E-07, 0.00000000E+00,-0.23825874E-05,-0.46454649E-08,-0.12322562E-07,-0.27072724E-06, 0.00000000E+00, 0.10140435E-07, 0.00000000E+00,-0.70789831E-07,-0.18611592E-07,-0.26498101E-08,-0.73206031E-07, 0.00000000E+00, 0.00000000E+00,-0.27243182E-07, 0.00000000E+00, 0.00000000E+00, 0.15394549E-04, 0.29677499E-01, 0.17915106E+15, 0.12905753E-09, 0.18475316E-05
     95188,    200.00,XYL       , 0.16040289E-02,-0.40174650E-05, 0.15064745E-02, 0.39735642E-04, 0.00000000E+00,-0.19122119E-03,-0.15063154E-05,-0.27587404E-06,-0.44645309E-04, 0.00000000E+00, 0.10140435E-07, 0.00000000E+00,-0.46669365E-05,-0.82976555E-06,-0.16465648E-06,-0.65856434E-05, 0.00000000E+00, 0.00000000E+00,-0.73640031E-05, 0.00000000E+00, 0.00000000E+00, 0.28889878E-02, 0.29677499E-01, 0.17915106E+15, 0.15913992E-07, 0.99212630E-05
     95188,    200.00,FORM      , 0.10820636E+01, 0.49307407E-03, 0.25066549E-02, 0.10525860E-02, 0.00000000E+00,-0.43672368E-01, 0.26321234E-01,-0.82034944E-02, 0.15014561E-01, 0.00000000E+00, 0.10829984E-01, 0.00000000E+00,-0.83436444E-05,-0.24220772E-05,-0.13458068E-05,-0.22285003E-04, 0.00000000E+00, 0.00000000E+00,-0.66866592E-03, 0.00000000E+00, 0.00000000E+00, 0.10857024E+01, 0.29677499E-01, 0.17915106E+15,-0.28225500E-06, 0.26084882E-06
     95188,    200.00,ALD2      , 0.11782040E+00, 0.38697280E-03, 0.12121122E-01, 0.33467870E-04, 0.00000000E+00,-0.55139135E-02, 0.25619925E-02,-0.81371760E-03, 0.11177137E-02, 0.00000000E+00, 0.10657597E-02, 0.00000000E+00,-0.12111856E-05,-0.35018152E-05,-0.53973131E-05, 0.59365168E-04, 0.00000000E+00, 0.00000000E+00,-0.25900360E-03, 0.00000000E+00, 0.00000000E+00, 0.12857027E+00, 0.29677499E-01, 0.17915106E+15, 0.23251403E-06, 0.19734616E-05
     95188,    200.00,HNO3      , 0.15633816E+01, 0.39178316E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.63642934E-01, 0.37938852E-01,-0.11780522E-01, 0.21403210E-01, 0.00000000E+00, 0.15464163E-01, 0.00000000E+00,-0.25245919E-04,-0.14058489E-04,-0.84615467E-05,-0.75150972E-04, 0.00000000E+00, 0.00000000E+00,-0.21442401E-02, 0.00000000E+00, 0.00000000E+00, 0.15996755E+01, 0.29677499E-01, 0.17915106E+15, 0.42024517E-07, 0.26880524E-07
     95188,    200.00,NXOY      , 0.37936002E-01, 0.36157775E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.17458034E-02, 0.69015112E-03,-0.11495363E-03, 0.69625450E-04, 0.00000000E+00, 0.64199106E-04, 0.00000000E+00,-0.95916384E-05,-0.58994901E-05,-0.37817058E-05,-0.31727483E-04, 0.00000000E+00, 0.00000000E+00,-0.11515918E-03, 0.00000000E+00, 0.00000000E+00, 0.40348899E-01, 0.29677499E-01, 0.17915106E+15, 0.61065158E-07, 0.16096888E-05
     95188,    200.00,NTR       , 0.93074712E-04, 0.98108474E-04, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.75543139E-05, 0.13005013E-05,-0.47645401E-07,-0.10123018E-05, 0.00000000E+00, 0.10140435E-07, 0.00000000E+00,-0.12701085E-06,-0.47685333E-07,-0.71628490E-08,-0.22220379E-06, 0.00000000E+00, 0.00000000E+00,-0.69682608E-06, 0.00000000E+00, 0.00000000E+00, 0.18277914E-03, 0.29677499E-01, 0.17915106E+15, 0.47483695E-09, 0.48399179E-05
